rank,signature,d_orbit_size,count,rate,wilson95_lower,wilson95_upper,check_count,label_counts,status_counts,mixed_labels
1,+++++-++-+-++++,12,11437,0.02287400,0.02246326,0.02329207,3,0_1:3,identified_unknot:3,False
2,+++--+-++--++--,12,11402,0.02280400,0.02239388,0.02322145,3,0_1:3,identified_unknot:3,False
3,+++++-++-++++++,12,11330,0.02266000,0.02225116,0.02307617,3,0_1:3,identified_unknot:3,False
4,++++--+--+-++-+,12,8395,0.01679000,0.01643756,0.01714986,3,0_1:3,identified_unknot:3,False
5,++++--++-+++-++,12,8390,0.01678000,0.01642767,0.01713976,3,0_1:3,identified_unknot:3,False
6,++++--+--+-++--,12,8318,0.01663600,0.01628517,0.01699425,3,0_1:3,identified_unknot:3,False
7,+++++-++--++-++,12,8297,0.01659400,0.01624361,0.01695182,3,0_1:3,identified_unknot:3,False
8,+++++++++++++--,12,8256,0.01651200,0.01616247,0.01686895,3,0_1:3,identified_unknot:3,False
9,++++++++++++++-,12,8233,0.01646600,0.01611696,0.01682247,3,0_1:3,identified_unknot:3,False
10,++++--++-+-++-+,12,8233,0.01646600,0.01611696,0.01682247,3,0_1:3,identified_unknot:3,False
11,+++++-++++++++-,12,8232,0.01646400,0.01611498,0.01682045,3,0_1:3,identified_unknot:3,False
12,+++++-++++--+++,12,8228,0.01645600,0.01610706,0.01681237,3,0_1:3,identified_unknot:3,False
13,+++----++-++++-,12,8227,0.01645400,0.01610509,0.01681034,3,0_1:3,identified_unknot:3,False
14,+++++-++-+--+++,12,8224,0.01644800,0.01609915,0.01680428,3,0_1:3,identified_unknot:3,False
15,++++---++--++-+,12,8207,0.01641400,0.01606551,0.01676992,3,0_1:3,identified_unknot:3,False
16,+++++-+-----++-,12,8200,0.01640000,0.01605166,0.01675578,3,0_1:3,identified_unknot:3,False
17,++++--++++-++-+,12,8199,0.01639800,0.01604968,0.01675375,3,0_1:3,identified_unknot:3,False
18,+++++---+---+--,12,8179,0.01635800,0.01601010,0.01671333,3,0_1:3,identified_unknot:3,False
19,+++++-++----+++,12,8168,0.01633600,0.01598833,0.01669110,3,0_1:3,identified_unknot:3,False
20,+++++-++----++-,12,8143,0.01628600,0.01593886,0.01664057,3,0_1:3,identified_unknot:3,False
21,++++---+++-++-+,12,8137,0.01627400,0.01592699,0.01662844,3,0_1:3,identified_unknot:3,False
22,++++++++++--+++,12,8119,0.01623800,0.01589137,0.01659206,3,0_1:3,identified_unknot:3,False
23,+++++-++--+++++,12,8110,0.01622000,0.01587356,0.01657387,3,0_1:3,identified_unknot:3,False
